gs_long,counts,condition
CSN1S1,692482.31906634,NL2_A
CSN1S2,NA,NL2_A
AVD,23904980873.8011,NL2_A
ALB,11237219.4878528,NL2_A
ALB,2430967.24957834,NL2_A
Mt2,NA,NL2_A
Mt1,NA,NL2_A
Mtnd1,2863221.08522217,NL2_A
mt,NA,NL2_A
mt,637927.571377757,NL2_A
Mtnd4,5006444.02839932,NL2_A
Mtnd5,8557304.63749596,NL2_A
Mtatp8,NA,NL2_A
Iap,335229.09095195,NL2_A
H2,NA,NL2_A
Gfap,99375806.8986821,NL2_A
Krt1,1717890.34683366,NL2_A
KRT6B,4956947.06739927,NL2_A
KRT1,1705465120.12297,NL2_A
Mbp,47799262.7884408,NL2_A
Araf,7461849.71456619,NL2_A
Slc4a1,NA,NL2_A
Prnp,NA,NL2_A
Aldoc,62119004.0172258,NL2_A
Aldoa,400063088.910431,NL2_A
Prkaca,17751761.0547857,NL2_A
Got1,NA,NL2_A
Got2,12087725.382037,NL2_A
Src,28965299.6308119,NL2_A
Kit,NA,NL2_A
Pdgfrb,131392.989924146,NL2_A
Krt18,NA,NL2_A
Ldha,345384406.517438,NL2_A
Nr3c1,524580.231794131,NL2_A
birA,NA,NL2_A
Gpi,9289920.97230323,NL2_A
Me1,2551110.97731022,NL2_A
Enpp1,NA,NL2_A
Gap43,8442764.6540995,NL2_A
Cfh,NA,NL2_A
Anxa2,618383.451792705,NL2_A
Alb,NA,NL2_A
Hsp90aa1,38187954.3314292,NL2_A
Pdia4,NA,NL2_A
Aprt,NA,NL2_A
Zfp2,NA,NL2_A
Hsp90b1,941381.760228222,NL2_A
Sod1,NA,NL2_A
Mdh2,199266737.127479,NL2_A
Camk4,4072791.74582185,NL2_A
Nefl,4015130.57982748,NL2_A
Nefm,36059936.5467071,NL2_A
Nras,NA,NL2_A
Gnai2,16562053.2885337,NL2_A
Polr2a,NA,NL2_A
KRT16,38048802.5359304,NL2_A
Itgb1,23301032.5597207,NL2_A
P4hb,NA,NL2_A
Ncl,4268861.14107531,NL2_A
Pgk1,77956245.5475177,NL2_A
Fth1,NA,NL2_A
Hmgn2,NA,NL2_A
Sod2,NA,NL2_A
Surf1,NA,NL2_A
Nudt10,NA,NL2_A
Rc3h2,179236.345108625,NL2_A
Lrrc4b,7044371.8254849,NL2_A
Pde11a,NA,NL2_A
Igsf11,8838035.88766862,NL2_A
Wipf3,NA,NL2_A
Alkbh1,NA,NL2_A
Calm1,NA,NL2_A
Lynx1,NA,NL2_A
Anxa1,NA,NL2_A
Eef1a1,408795315.929192,NL2_A
Nid1,NA,NL2_A
Alad,NA,NL2_A
Ctsb,931011.32201312,NL2_A
Eif4a2,6826975.10408245,NL2_A
Mapt,50228151.210671,NL2_A
Txn,26553702.2984559,NL2_A
Gstm1,5184217.38710202,NL2_A
Tcea1,NA,NL2_A
Rras,NA,NL2_A
Slc3a2,137299695.800463,NL2_A
H2bc15,16087396.0419133,NL2_A
H1,NA,NL2_A
Col1a1,NA,NL2_A
Parp1,15410.3677466488,NL2_A
Lamp1,2007551.10326078,NL2_A
Hsp90ab1,151909159.849753,NL2_A
Dmd,27676849.5773911,NL2_A
L1cam,5852265.47166899,NL2_A
Camk2a,104235100.833816,NL2_A
Gas2,NA,NL2_A
Itpr1,67691.0132128473,NL2_A
Tcp1,54412753.2456627,NL2_A
Prkar2a,4817240.84828507,NL2_A
Pfkl,11396595.9211421,NL2_A
Chrm1,NA,NL2_A
Calb1,NA,NL2_A
Cox5a,NA,NL2_A
Prkar1b,NA,NL2_A
Cntn1,219030811.52634,NL2_A
Rpl7a,3898199.0952004,NL2_A
Gsn,3244979.49827691,NL2_A
Umps,NA,NL2_A
Ncam1,159736456.098107,NL2_A
KRT10,1578460634.81047,NL2_A
KRT5,161637306.536663,NL2_A
Gpd1,283348842.573185,NL2_A
Atp1b1,388629152.780896,NL2_A
C1qb,NA,NL2_A
Rpl27a,1858783.55884775,NL2_A
Rps16,8999660.51932847,NL2_A
Rpl7,2520762.47242379,NL2_A
Mdh1,70094860.7898303,NL2_A
Rpsa,2404329.66406076,NL2_A
Calr,24365282.6520642,NL2_A
Atp1b2,80246724.9937598,NL2_A
Srp54,1854559.36462034,NL2_A
Hspb1,NA,NL2_A
Psmd3,6374589.02562878,NL2_A
Lmnb1,2673651.41110415,NL2_A
Anxa6,26398297.539178,NL2_A
Rplp0,1803106.65949706,NL2_A
Map1b,35158505.0081263,NL2_A
Glul,320132695.369406,NL2_A
Cdh2,3359687.76047261,NL2_A
Insr,NA,NL2_A
Ntrk2,520939.181327779,NL2_A
Rel,NA,NL2_A
Bpgm,NA,NL2_A
Prph,NA,NL2_A
Cd44,772999.97854671,NL2_A
Kcnc1,NA,NL2_A
Sptb,NA,NL2_A
Nme1,17256308.60993,NL2_A
Usp53,NA,NL2_A
Prkce,5951806.7685263,NL2_A
Ldhb,172297143.896567,NL2_A
Slc4a3,NA,NL2_A
Cnp,462932369.872224,NL2_A
Kcna1,NA,NL2_A
Kcna3,NA,NL2_A
Ass1,15211687.8852176,NL2_A
Sptan1,608881521.04505,NL2_A
Ctsa,NA,NL2_A
Gapdh,1855230239.16062,NL2_A
Atf2,NA,NL2_A
Zfp37,NA,NL2_A
Hspa2,2283442.75162585,NL2_A
Eno1,134808456.49098,NL2_A
Eno2,11444620.6655622,NL2_A
Ptbp1,659418.35940331,NL2_A
Ap2a1,160413684.582661,NL2_A
Ap2a2,55469233.1020906,NL2_A
Selenbp1,1377199.98014145,NL2_A
Hk1,119245892.935052,NL2_A
Ppia,328926137.696071,NL2_A
Tpi1,82563825.596134,NL2_A
Slc2a1,32352197.9894868,NL2_A
Hspa1b,NA,NL2_A
