gs_long2,pct,condition2,cell,BioID
Slc30a4,NA,NL2_A,Astrocyte,NL2
Cx3cl1,NA,NL2_A,Astrocyte,NL2
Ddt,NA,NL2_A,Astrocyte,NL2
Cpsf2,NA,NL2_A,Astrocyte,NL2
Psmd4,18,NL2_A,Astrocyte,NL2
Ptpn9,NA,NL2_A,Astrocyte,NL2
Exoc7,NA,NL2_A,Astrocyte,NL2
Dhx15,49,NL2_A,Astrocyte,NL2
Purb,70,NL2_A,Astrocyte,NL2
Slc6a6,NA,NL2_A,Astrocyte,NL2
Kpna3,42,NL2_A,Astrocyte,NL2
Kpna6,NA,NL2_A,Astrocyte,NL2
Capn1,NA,NL2_A,Astrocyte,NL2
Nrp2,NA,NL2_A,Astrocyte,NL2
Exoc4,65,NL2_A,Astrocyte,NL2
Efnb3,NA,NL2_A,Astrocyte,NL2
Pld3,68,NL2_A,Astrocyte,NL2
Rnf5,NA,NL2_A,Astrocyte,NL2
Clcn6,4,NL2_A,Astrocyte,NL2
Sema6a,NA,NL2_A,Astrocyte,NL2
Fkbp8,37,NL2_A,Astrocyte,NL2
Cdk14,NA,NL2_A,Astrocyte,NL2
Notch2,NA,NL2_A,Astrocyte,NL2
Stx1a,92,NL2_A,Astrocyte,NL2
Slc1a6,NA,NL2_A,Astrocyte,NL2
Rabep1,54,NL2_A,Astrocyte,NL2
Psmd14,52,NL2_A,Astrocyte,NL2
Npc1,NA,NL2_A,Astrocyte,NL2
Bmpr2,NA,NL2_A,Astrocyte,NL2
Scamp3,52,NL2_A,Astrocyte,NL2
Pmm1,NA,NL2_A,Astrocyte,NL2
Bet1,NA,NL2_A,Astrocyte,NL2
Axin1,NA,NL2_A,Astrocyte,NL2
Slc32a1,79,NL2_A,Astrocyte,NL2
Stag2,NA,NL2_A,Astrocyte,NL2
Anxa3,NA,NL2_A,Astrocyte,NL2
Ap1b1,58,NL2_A,Astrocyte,NL2
Hap1,NA,NL2_A,Astrocyte,NL2
Mgll,74,NL2_A,Astrocyte,NL2
Mrps12,NA,NL2_A,Astrocyte,NL2
Syt3,NA,NL2_A,Astrocyte,NL2
Myadm,52,NL2_A,Astrocyte,NL2
Ndufa1,43,NL2_A,Astrocyte,NL2
Nudc,69,NL2_A,Astrocyte,NL2
Enc1,NA,NL2_A,Astrocyte,NL2
Noct,NA,NL2_A,Astrocyte,NL2
Ppfibp2,NA,NL2_A,Astrocyte,NL2
Hnrnph1,37,NL2_A,Astrocyte,NL2
Api5,NA,NL2_A,Astrocyte,NL2
Bcat2,NA,NL2_A,Astrocyte,NL2
Timm44,58,NL2_A,Astrocyte,NL2
Cops5,26,NL2_A,Astrocyte,NL2
Slc1a4,72,NL2_A,Astrocyte,NL2
Pik3cd,NA,NL2_A,Astrocyte,NL2
Cdk5r2,NA,NL2_A,Astrocyte,NL2
Ctnnd2,97,NL2_A,Astrocyte,NL2
