GeneSymbol,FC,pval,sd,BioID,cell
Fga,-1.385288,0.651294600646651,2.08013280319073,NL1,Astrocyte
Mctp1,1.424348,0.209483643790965,0.113465271228369,NL1,Astrocyte
Gcn1,-1.629756,0.0199159702433862,0.0129940468716742,NL1,Astrocyte
Dchs1,1.52453,0.372908857036578,0.624095080473922,NL1,Astrocyte
Sbf2,1.494319,0.176168503138462,0.265096235602598,NL1,Astrocyte
Ift140,-1.441338,0.128565424167759,0.0720067822473916,NL1,Astrocyte
Igsf9b,1.60452,0.397539635032993,1.85821419488718,NL1,Astrocyte
Ascc3,-1.118029,0.598790119779429,0.302967429197537,NL1,Astrocyte
Tex264,1.16198,0.494139665570292,0.270508521580042,NL1,Astrocyte
Abcc4,1.575105,0.321317699052774,0.718495015762498,NL1,Astrocyte
C2cd2,1.320309,0.220958363208923,0.0815587416574113,NL1,Astrocyte
Pi4ka,1.191009,0.305037001533101,0.142890727600301,NL1,Astrocyte
Ryr2,1.049189,0.599145487823586,0.143853111476899,NL1,Astrocyte
Arid1b,-2.697639,0.0285398169411765,0.104054489656927,NL1,Astrocyte
Wdfy1,1.133304,0.64011159487299,0.265924315599325,NL1,Astrocyte
Pde8b,1.33873,0.177274284984802,0.237090083218545,NL1,Astrocyte
Acacb,1.178504,0.956892066045066,0.531134565030934,NL1,Astrocyte
Dsp,-1.409146,0.501913273177152,0.0833459398238146,NL1,Astrocyte
Ythdc1,-2.748052,0.355262439335888,0.642301046428101,NL1,Astrocyte
Ptpro,1.50879,0.204380580603332,0.225323883012852,NL1,Astrocyte
Ccdc85c,-1.198855,0.422984892877823,0.204027357891512,NL1,Astrocyte
Xkr6,1.963125,0.288853225327511,1.67933383387471,NL1,Astrocyte
Ttc7b,-1.294722,0.191876965958254,0.129788252152488,NL1,Astrocyte
Ube4a,-1.329015,0.141269570295566,0.102018908755631,NL1,Astrocyte
Arid2,-2.563519,0.0835676402272727,0.145455268881699,NL1,Astrocyte
