GeneSymbol,FC,pval,BioID,cell
Clock,1.009873,0.8593316,NL1,Astrocyte
Dctn1,-1.504617,0.004292096,NL1,Astrocyte
Prkcsh,-1.300111,0.2043664,NL1,Astrocyte
Prdx4,1.07333,0.7304568,NL1,Astrocyte
Diaph1,-1.224166,0.0473332,NL1,Astrocyte
Eftud2,1.053239,0.5112661,NL1,Astrocyte
Gfra2,1.365846,0.2077397,NL1,Astrocyte
RO60,1.22707,0.0247221,NL1,Astrocyte
Pik3r2,1.543877,0.4046983,NL1,Astrocyte
Faah,1.214556,0.02180985,NL1,Astrocyte
Aip,-1.027681,0.8058754,NL1,Astrocyte
Flot1,1.227509,0.02227381,NL1,Astrocyte
Numbl,1.045265,0.317394,NL1,Astrocyte
Cyth3,1.003721,0.9570331,NL1,Astrocyte
Sdcbp,1.046898,0.641863,NL1,Astrocyte
Pex5,-1.777488,0.01525665,NL1,Astrocyte
Snap23,3.447972,0.001120074,NL1,Astrocyte
Map2k3,1.120228,0.4246639,NL1,Astrocyte
Ndufb11,1.232871,0.05869285,NL1,Astrocyte
Ptgds,2.599763,0.01002661,NL1,Astrocyte
Sema4d,-1.036159,0.6791972,NL1,Astrocyte
Epha8,1.222163,0.1682238,NL1,Astrocyte
Rpl21,1.270523,0.01409512,NL1,Astrocyte
Gclm,1.388338,0.01473209,NL1,Astrocyte
Amacr,-1.391617,0.06738383,NL1,Astrocyte
Kif1c,-13.87853,0.05170061,NL1,Astrocyte
Vps26c,1.21651,0.1808602,NL1,Astrocyte
Agpat1,1.214761,0.1477785,NL1,Astrocyte
Dpysl4,1.075732,0.2846782,NL1,Astrocyte
Map3k5,1.052803,0.8968714,NL1,Astrocyte
Phb2,1.267475,0.105214,NL1,Astrocyte
Ncam2,1.179045,0.005027548,NL1,Astrocyte
Atp5if1,-1.028492,0.8547212,NL1,Astrocyte
Slc30a4,4.283128,0.2108919,NL1,Astrocyte
Cx3cl1,1.181948,0.2137638,NL1,Astrocyte
Ddt,-1.366153,0.4399429,NL1,Astrocyte
Cpsf2,-1.077282,0.7717159,NL1,Astrocyte
Psmd4,1.31656,0.001168809,NL1,Astrocyte
Ptpn9,1.068749,0.3799133,NL1,Astrocyte
Exoc7,-1.368658,0.4770527,NL1,Astrocyte
Dhx15,-1.264452,0.1046454,NL1,Astrocyte
Purb,1.140676,0.194618,NL1,Astrocyte
Slc6a6,-1.078521,0.4494396,NL1,Astrocyte
Kpna3,-2.256482,0.001142052,NL1,Astrocyte
Kpna6,1.503723,0.1107318,NL1,Astrocyte
Capn1,1.168068,0.1390117,NL1,Astrocyte
Nrp2,1.229857,0.2855285,NL1,Astrocyte
Exoc4,-1.055874,0.4573824,NL1,Astrocyte
Efnb3,1.405183,0.1027435,NL1,Astrocyte
